حرفه,کشور,حقوق متوسط سالانه (دلار),منبع
توسعه‌دهنده نرم‌افزار,ایران,8000,ChatGPT
توسعه‌دهنده نرم‌افزار,آمریکا,95000,ChatGPT
توسعه‌دهنده نرم‌افزار,آلمان,70000,ChatGPT
توسعه‌دهنده نرم‌افزار,هند,15000,ChatGPT
توسعه‌دهنده نرم‌افزار,ژاپن,65000,ChatGPT
مهندس امنیت سایبری,ایران,10000,ChatGPT
مهندس امنیت سایبری,آمریکا,110000,ChatGPT
مهندس امنیت سایبری,آلمان,85000,ChatGPT
مهندس امنیت سایبری,هند,20000,ChatGPT
مهندس امنیت سایبری,ژاپن,90000,ChatGPT
متخصص هوش مصنوعی,ایران,12000,ChatGPT
متخصص هوش مصنوعی,آمریکا,130000,ChatGPT
متخصص هوش مصنوعی,آلمان,95000,ChatGPT
متخصص هوش مصنوعی,هند,25000,ChatGPT
متخصص هوش مصنوعی,ژاپن,100000,ChatGPT